"Financial Quarter And Year Name - Reported","Postcode - Incident","Offence Level 1 Description","Offence Level 2 Description","Offence Level 3 Description","Offence Count"
"Q4-2012/2013","5016","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","2"
"Q4-2012/2013","5016","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Other acts intended to cause injury","2"
"Q4-2012/2013","5016","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","2"
"Q4-2012/2013","5016","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault resulting in injury","1"
"Q4-2012/2013","5017","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft/Illegal Use of MV","1"
"Q4-2012/2013","5017","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"Q4-2012/2013","5017","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault resulting in injury","1"
"Q4-2012/2013","5018","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"Q4-2012/2013","5019","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"Q4-2012/2013","5019","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Property damage by fire or explosion","1"
"Q4-2012/2013","5019","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","SCT - Residence","1"
"Q4-2012/2013","5019","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","1"
"Q4-2012/2013","5019","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","4"
"Q4-2012/2013","5019","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Abduction, harassment and other offences","1"
"Q4-2012/2013","5019","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Threatening behaviour","1"
"Q4-2012/2013","5020","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"Q4-2012/2013","5020","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","1"
"Q4-2012/2013","5020","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"Q4-2012/2013","5021","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","1"
"Q4-2012/2013","5022","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","3"
"Q4-2012/2013","5023","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"Q4-2012/2013","5023","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","Other unlawful entry with intent","1"
"Q4-2012/2013","5023","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","1"
"Q4-2012/2013","5023","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","10"
"Q4-2012/2013","5023","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault resulting in injury","1"
"Q4-2012/2013","5023","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Threatening behaviour","2"
"Q4-2012/2013","5024","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","1"
"Q4-2012/2013","5024","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","3"
"Q4-2012/2013","5024","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault resulting in injury","1"
"Q4-2012/2013","5025","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"Q4-2012/2013","5025","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","3"
"Q4-2012/2013","5025","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault resulting in injury","1"
"Q4-2012/2013","5025","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Threatening behaviour","1"
"Q4-2012/2013","5031","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"Q4-2012/2013","5031","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","1"
"Q4-2012/2013","5031","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","3"
"Q4-2012/2013","5032","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"Q4-2012/2013","5032","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","SCT - Residence","1"
"Q4-2012/2013","5032","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","1"
"Q4-2012/2013","5032","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","3"
"Q4-2012/2013","5033","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","Other unlawful entry with intent","1"
"Q4-2012/2013","5033","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","3"
"Q4-2012/2013","5034","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","1"
"Q4-2012/2013","5034","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"Q4-2012/2013","5035","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"Q4-2012/2013","5035","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","1"
"Q4-2012/2013","5035","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","3"
"Q4-2012/2013","5037","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","2"
"Q4-2012/2013","5038","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","3"
"Q4-2012/2013","5038","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault resulting in injury","1"
"Q4-2012/2013","5039","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"Q4-2012/2013","5039","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","4"
"Q4-2012/2013","5040","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","2"
"Q4-2012/2013","5041","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","1"
"Q4-2012/2013","5041","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","4"
"Q4-2012/2013","5041","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Abduction, harassment and other offences","1"
"Q4-2012/2013","5042","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","1"
"Q4-2012/2013","5042","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","4"
"Q4-2012/2013","5043","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","2"
"Q4-2012/2013","5043","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","SCT - Residence","1"
"Q4-2012/2013","5043","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","1"
"Q4-2012/2013","5043","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","9"
"Q4-2012/2013","5043","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault resulting in injury","2"
"Q4-2012/2013","5043","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Abduction, harassment and other offences","1"
"Q4-2012/2013","5044","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","1"
"Q4-2012/2013","5044","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","4"
"Q4-2012/2013","5045","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","1"
"Q4-2012/2013","5045","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","4"
"Q4-2012/2013","5045","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault resulting in injury","1"
"Q4-2012/2013","5046","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","6"
"Q4-2012/2013","5047","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Other acts intended to cause injury","1"
"Q4-2012/2013","5047","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","4"
"Q4-2012/2013","5047","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Threatening behaviour","1"
"Q4-2012/2013","5048","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"Q4-2012/2013","5049","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"Q4-2012/2013","5051","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"Q4-2012/2013","5051","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Other acts intended to cause injury","1"
"Q4-2012/2013","5051","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","2"
"Q4-2012/2013","5061","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"Q4-2012/2013","5061","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"Q4-2012/2013","5061","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"Q4-2012/2013","5062","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","1"
"Q4-2012/2013","5062","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","2"
"Q4-2012/2013","5063","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","SCT - Residence","1"
"Q4-2012/2013","5063","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","4"
"Q4-2012/2013","5064","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"Q4-2012/2013","5065","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","3"
"Q4-2012/2013","5066","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Other acts intended to cause injury","1"
"Q4-2012/2013","5066","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"Q4-2012/2013","5067","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"Q4-2012/2013","5067","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","2"
"Q4-2012/2013","5067","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Threatening behaviour","2"
"Q4-2012/2013","5068","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","2"
"Q4-2012/2013","5070","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","2"
"Q4-2012/2013","5070","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","10"
"Q4-2012/2013","5070","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault resulting in injury","2"
"Q4-2012/2013","5070","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Dangerous or negligent acts","1"
"Q4-2012/2013","5070","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Threatening behaviour","1"
"Q4-2012/2013","5072","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"Q4-2012/2013","5072","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","5"
"Q4-2012/2013","5072","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Threatening behaviour","2"
"Q4-2012/2013","5073","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"Q4-2012/2013","5074","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Other acts intended to cause injury","1"
"Q4-2012/2013","5074","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","4"
"Q4-2012/2013","5074","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault resulting in injury","1"
"Q4-2012/2013","5074","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Abduction, harassment and other offences","1"
"Q4-2012/2013","5075","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"Q4-2012/2013","5075","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","Other unlawful entry with intent","1"
"Q4-2012/2013","5075","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","2"
"Q4-2012/2013","5075","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault resulting in injury","3"
"Q4-2012/2013","5076","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Other acts intended to cause injury","1"
"Q4-2012/2013","5081","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"Q4-2012/2013","5082","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","2"
"Q4-2012/2013","5082","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","4"
"Q4-2012/2013","5083","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"Q4-2012/2013","5083","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","1"
"Q4-2012/2013","5084","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","2"
"Q4-2012/2013","5084","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","Other unlawful entry with intent","1"
"Q4-2012/2013","5084","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","2"
"Q4-2012/2013","5084","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Other acts intended to cause injury","1"
"Q4-2012/2013","5084","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","7"
"Q4-2012/2013","5084","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Threatening behaviour","3"
"Q4-2012/2013","5085","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"Q4-2012/2013","5085","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","2"
"Q4-2012/2013","5085","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","10"
"Q4-2012/2013","5085","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault resulting in injury","1"
"Q4-2012/2013","5085","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Threatening behaviour","2"
"Q4-2012/2013","5086","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","3"
"Q4-2012/2013","5086","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","2"
"Q4-2012/2013","5086","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","9"
"Q4-2012/2013","5086","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Threatening behaviour","1"
"Q4-2012/2013","5087","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","3"
"Q4-2012/2013","5087","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","1"
"Q4-2012/2013","5087","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","6"
"Q4-2012/2013","5087","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault resulting in injury","1"
"Q4-2012/2013","5087","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Threatening behaviour","1"
"Q4-2012/2013","5088","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"Q4-2012/2013","5088","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","3"
"Q4-2012/2013","5088","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Threatening behaviour","1"
"Q4-2012/2013","5089","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"Q4-2012/2013","5089","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"Q4-2012/2013","5089","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","1"
"Q4-2012/2013","5090","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"Q4-2012/2013","5090","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","1"
"Q4-2012/2013","5090","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Other acts intended to cause injury","1"
"Q4-2012/2013","5090","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","4"
"Q4-2012/2013","5091","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"Q4-2012/2013","5091","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","1"
"Q4-2012/2013","5092","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","2"
"Q4-2012/2013","5092","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","Other unlawful entry with intent","2"
"Q4-2012/2013","5092","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Other acts intended to cause injury","2"
"Q4-2012/2013","5092","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","6"
"Q4-2012/2013","5092","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Threatening behaviour","3"
"Q4-2012/2013","5093","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","3"
"Q4-2012/2013","5093","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Other acts intended to cause injury","1"
"Q4-2012/2013","5093","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","5"
"Q4-2012/2013","5093","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Abduction, harassment and other offences","1"
"Q4-2012/2013","5094","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"Q4-2012/2013","5094","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"Q4-2012/2013","5095","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"Q4-2012/2013","5095","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","10"
"Q4-2012/2013","5095","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault resulting in injury","2"
"Q4-2012/2013","5096","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","3"
"Q4-2012/2013","5096","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","Other unlawful entry with intent","2"
"Q4-2012/2013","5096","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","1"
"Q4-2012/2013","5096","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Other acts intended to cause injury","1"
"Q4-2012/2013","5096","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","9"
"Q4-2012/2013","5097","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","3"
"Q4-2012/2013","5097","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","1"
"Q4-2012/2013","5097","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Other acts intended to cause injury","1"
"Q4-2012/2013","5097","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"Q4-2012/2013","5098","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"Q4-2012/2013","5098","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"Q4-2012/2013","5098","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault resulting in injury","1"
"Q4-2012/2013","5098","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Threatening behaviour","1"
"Q4-2012/2013","5106","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft/Illegal Use of MV","1"
"Q4-2012/2013","5107","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","2"
"Q4-2012/2013","5107","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","1"
"Q4-2012/2013","5107","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Other acts intended to cause injury","1"
"Q4-2012/2013","5107","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","6"
"Q4-2012/2013","5107","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Abduction, harassment and other offences","1"
"Q4-2012/2013","5107","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Threatening behaviour","1"
"Q4-2012/2013","5108","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","7"
"Q4-2012/2013","5108","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","SCT - Residence","1"
"Q4-2012/2013","5108","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft/Illegal Use of MV","1"
"Q4-2012/2013","5108","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","5"
"Q4-2012/2013","5108","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Other acts intended to cause injury","3"
"Q4-2012/2013","5108","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","19"
"Q4-2012/2013","5108","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault resulting in injury","1"
"Q4-2012/2013","5109","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","2"
"Q4-2012/2013","5109","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","SCT - Residence","2"
"Q4-2012/2013","5109","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","2"
"Q4-2012/2013","5109","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","9"
"Q4-2012/2013","5109","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Abduction, harassment and other offences","1"
"Q4-2012/2013","5110","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"Q4-2012/2013","5110","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","5"
"Q4-2012/2013","5111","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","2"
"Q4-2012/2013","5112","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","6"
"Q4-2012/2013","5112","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","SCT - Residence","1"
"Q4-2012/2013","5112","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","4"
"Q4-2012/2013","5112","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","29"
"Q4-2012/2013","5112","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Abduction, harassment and other offences","2"
"Q4-2012/2013","5112","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Threatening behaviour","1"
"Q4-2012/2013","5113","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","10"
"Q4-2012/2013","5113","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","Other unlawful entry with intent","1"
"Q4-2012/2013","5113","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","SCT - Residence","2"
